timestamp,view_count,like_count,comment_count,title
2026-02-14 08:00:00,0,0,0,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 09:20:00,2324,150,22,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:20:13,9617,653,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:24:45,10025,660,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:24:50,10025,660,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:27:51,10218,662,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:29:33,10228,664,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:29:35,10228,664,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:29:44,10228,664,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:29:48,10228,664,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:29:50,10228,664,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:33:04,10243,675,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:33:08,10243,675,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:33:09,10243,675,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:35:20,10433,677,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:35:34,10433,677,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:35:49,10435,677,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:35:51,10435,677,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:35:51,10435,677,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:40:26,10642,687,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:40:30,10642,687,48,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:41:38,10652,688,49,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:41:42,10652,688,49,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 12:48:54,11289,701,52,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 13:08:23,12217,737,56,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 13:49:18,14158,804,62,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 14:05:10,14922,829,65,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 14:10:51,15057,841,66,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 15:24:03,18782,928,74,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 15:24:53,18782,931,74,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 16:07:11,20445,974,76,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 16:44:39,22026,1009,84,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
2026-02-14 17:00:12,22497,1021,87,"최대 큰손 국민연금, 본격 코스닥 투자 임박? | 김성주 국민연금공단 이사장 [더 피플]"
